,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,Basic_psc_pci_2,Basic_psc_pci_3,Basic_psc_pci_4,Basic_psc_pci_5,Basic_psc_pci_6,MRTime,Lon,Lat,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,conf,error,Longitude,Latitude,p_gid,gid
141,8,6266,8914443,74,-66,4,2147483647,2147483647,60,-80,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,489,103,360,48.0,-999.0,1521795353603,121.497708,31.282674,1,0.0,2.0,88.0,62.0,-1.0,1,10.9,121.49610346,31.28354653,13,13
142,0,6266,8966933,58,-82,4,2147483647,2147483647,51,-89,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,90,314,318,-1.0,-1.0,1521793386153,121.494185,31.286931,13,45.0,44.0,43.0,-1.0,-1.0,1,10.9,121.49607062,31.28294881,8,8
143,0,6266,8966667,73,-67,4,2147483647,2147483647,47,-93,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,90,319,-1,-1.0,-1.0,1521793478350,121.493758,31.285023,16,52.0,53.0,-1.0,-1.0,-1.0,1,10.9,121.49326488,31.28584835,1,1
144,0,6266,13525525,48,-92,4,2147483647,2147483647,49,-91,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,320,360,112,279.0,246.0,1521793212987,121.498917,31.287786,10,35.0,32.0,148.0,36.0,37.0,1,10.9,121.49607062,31.28294881,8,8
145,4,6266,13056267,61,-79,4,2147483647,2147483647,56,-84,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,279,248,-1,-1.0,-1.0,1521794408101,121.5048991,31.28309848,6,76.0,20.0,-1.0,-1.0,-1.0,1,10.9,121.50165758,31.28562222,16,16
146,0,6266,13056267,64,-76,4,2147483647,2147483647,57,-83,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,248,247,-1,-1.0,-1.0,1521793052490,121.5048991,31.28309848,6,20.0,25.0,-1.0,-1.0,-1.0,1,10.9,121.49607062,31.28294881,8,8
147,4,6266,13056267,59,-81,4,2147483647,2147483647,56,-84,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,248,279,-1,-1.0,-1.0,1521794402647,121.5048991,31.28309848,6,20.0,76.0,-1.0,-1.0,-1.0,1,10.9,121.50165839,31.28562188,16,16
148,2,6266,8914443,74,-66,4,2147483647,2147483647,47,-93,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,0,103,489,48,388.0,-1.0,1521793946153,121.497708,31.282674,1,2.0,0.0,62.0,1.0,-1.0,1,10.9,121.49639682,31.28344556,8,8
149,0,6266,12842763,71,-69,4,2147483647,2147483647,61,-79,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,0,387,102,446,103.0,-1.0,1521792849101,121.49826,31.285127,4,12.0,112.0,13.0,111.0,-1.0,1,10.9,121.49607062,31.28294881,8,8
150,2,6266,8898335,60,-80,4,2147483647,2147483647,47,-93,4,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,416,-1,-1,-1.0,-1.0,1521794067564,121.494908,31.284184,19,72.0,-1.0,-1.0,-1.0,-1.0,1,10.9,121.49639682,31.28344556,15,8
151,0,6266,12842763,70,-70,4,2147483647,2147483647,67,-73,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,416,388,-1,-1.0,-1.0,1521792828505,121.49826,31.285127,4,11.0,10.0,-1.0,-1.0,-1.0,1,10.9,121.49607062,31.28294881,8,8
152,6,6266,8966677,79,-61,4,2147483647,2147483647,65,-75,4,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-999.0,0,-999.0,-999.0,-999.0,0,103,-1,-1,-1.0,-999.0,1521794935034,121.49548,31.283645,18,61.0,-1.0,-1.0,-1.0,-1.0,1,10.9,121.4938999,31.28458989,9,9
153,9,6266,8966933,55,-85,4,2147483647,2147483647,52,-88,4,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,416,102,314,320.0,246.0,1521795818166,121.494185,31.286931,13,98.0,95.0,44.0,97.0,92.0,1,10.9,121.49686641,31.28650678,11,11
154,4,6266,8970507,63,-77,4,2147483647,2147483647,63,-77,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,0,444,248,-1,-1.0,-1.0,1521794373368,121.502806,31.288517,8,24.0,23.0,-1.0,-1.0,-1.0,1,10.9,121.5015345,31.28573327,16,16
155,8,6266,12842763,70,-70,4,2147483647,2147483647,69,-71,4,-999.0,0,-999.0,-999.0,-999.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-999.0,0,-999.0,-999.0,-999.0,0,416,388,-1,-1.0,-999.0,1521795444591,121.49826,31.285127,4,11.0,10.0,-1.0,-1.0,-1.0,1,10.9,121.49629703,31.28354031,13,13
