ECGI_Raw,PCI,1F_UARFCN,制式,TAC,经度,维度,方向角,下倾角,天线挂高,小区类型,参考信号功率,A,B,ECGI
10721568,475,1506,L1800,6178,121.40534,31.22985,360,0,0,微小区,122,41881,32,10724395
10721578,476,1506,L1800,6178,121.40534,31.22985,360,0,0,微小区,122,41881,42,10724405
10721588,477,1506,L1800,6178,121.40534,31.22985,360,0,0,微小区,122,41881,52,10724415
10721598,478,1506,L1800,6178,121.40534,31.22985,360,0,0,微小区,122,41881,62,10724425
10722059,501,1650,L1800,6243,121.48172,31.2319,360,0,0,微小区,152,41883,11,10724886
10722069,475,1650,L1800,6243,121.48172,31.2319,360,0,0,微小区,152,41883,21,10724896
10722079,401,1650,L1800,6243,121.48172,31.2319,360,0,0,微小区,152,41883,31,10724906
10722571,474,1650,L1800,6144,121.46694,31.22454,360,0,0,微小区,152,41885,11,10725398
10722581,473,1650,L1800,6144,121.46694,31.22454,360,0,0,微小区,152,41885,21,10725408
10722827,476,1650,L1800,6179,121.41682,31.21007,360,0,0,微小区,152,41886,11,10725654
10723083,479,1650,L1800,6201,121.50117,31.27365,360,0,0,微小区,152,41887,11,10725910
10723093,480,1650,L1800,6201,121.50117,31.27365,360,0,0,微小区,152,41887,21,10725920
10723103,481,1650,L1800,6201,121.50117,31.27365,360,0,0,微小区,152,41887,31,10725930
10723113,482,1650,L1800,6201,121.50117,31.27365,360,0,0,微小区,152,41887,41,10725940
10723339,501,1650,L1800,6199,121.44956,31.24406,360,0,0,微小区,152,41888,11,10726166
10723349,502,1650,L1800,6199,121.44956,31.24406,360,0,0,微小区,152,41888,21,10726176
10723595,462,1650,L1800,6182,121.69846,31.19243,360,0,0,微小区,152,41889,11,10726422
10724107,492,1650,L1800,6269,121.42751,31.25201,360,0,0,微小区,152,41891,11,10726934
10724619,477,1650,L1800,6248,121.48144,31.38894,360,0,0,微小区,122,41893,11,10727446
10724629,478,1650,L1800,6248,121.48144,31.38894,360,0,0,微小区,122,41893,21,10727456
10724623,402,1825,L1800,23569,121.48144,31.38894,360,0,0,微小区,124,41893,15,10727450
10724633,386,1825,L1800,23569,121.48144,31.38894,360,0,0,微小区,124,41893,25,10727460
10724875,481,1650,L1800,6248,121.48144,31.38894,360,0,0,微小区,152,41894,11,10727702
10724885,482,1650,L1800,6248,121.48144,31.38894,360,0,0,微小区,152,41894,21,10727712
10724895,483,1650,L1800,6248,121.48144,31.38894,360,0,0,微小区,152,41894,31,10727722
10724905,484,1650,L1800,6248,121.48144,31.38894,360,0,0,微小区,152,41894,41,10727732
10724915,485,1650,L1800,6248,121.48144,31.38894,360,0,0,微小区,152,41894,51,10727742
10724879,400,1825,L1800,23569,121.48144,31.38894,360,0,0,微小区,124,41894,15,10727706
10724889,347,1825,L1800,23569,121.48144,31.38894,360,0,0,微小区,124,41894,25,10727716
10724899,363,1825,L1800,23569,121.48144,31.38894,360,0,0,微小区,124,41894,35,10727726
10724909,328,1825,L1800,23569,121.48144,31.38894,360,0,0,微小区,124,41894,45,10727736
10724919,329,1825,L1800,23569,121.48144,31.38894,360,0,0,微小区,124,41894,55,10727746
10725131,487,1650,L1800,6260,121.42513,31.23583,360,0,0,微小区,152,41895,11,10727958
10725141,488,1650,L1800,6260,121.42513,31.23583,360,0,0,微小区,152,41895,21,10727968
10725387,500,1650,L1800,6266,121.4916484,31.30399107,360,0,0,微小区,122,41896,11,10728214
