,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,Longitude,Latitude,gid
9847,37,5198,42518,29,-55,4,5198,42517,17,-79,4,5198.0,49989.0,19.0,-75.0,4.0,5198.0,42519.0,20.0,-73.0,4.0,5198.0,1188.0,12.0,-89.0,4.0,5198.0,43858.0,13.0,-87.0,4.0,1,1523513104264,139,141.0,145.0,143.0,113.0,152.0,121.218148,31.288526,121.218883,31.292806,121.217371,31.291607,121.217792,31.288293,121.214195,31.288478,121.217796,31.28377,121.20847546,31.28873892,109
1219,9,6188,27377,24,-65,4,6188,27378,19,-75,4,6188.0,26051.0,21.0,-71.0,4.0,6188.0,26049.0,19.0,-75.0,4.0,6182.0,41233.0,23.0,-67.0,4.0,6182.0,44775.0,22.0,-69.0,4.0,2,1509179236611,8,3.0,1.0,10.0,11.0,48.0,121.208284,31.289647,121.208284,31.289647,121.211928,31.288649,121.211928,31.288649,121.217245,31.291334,121.223129,31.291293,121.21084266,31.2929457,102
541,7,6188,27394,21,-71,4,6188,27361,17,-79,4,6188.0,27378.0,23.0,-67.0,4.0,6188.0,25763.0,15.0,-83.0,4.0,6188.0,25105.0,15.0,-83.0,4.0,6188.0,26051.0,15.0,-83.0,4.0,1,1508593687194,5,47.0,3.0,73.0,2.0,1.0,121.208105,31.289402,121.213131,31.283388,121.208284,31.289647,121.218483,31.276604,121.211975,31.276588,121.211928,31.288649,121.21023966,31.28495845,66
4167,14,6188,25089,19,-75,4,6182,41139,17,-79,4,6188.0,25763.0,14.0,-85.0,4.0,6188.0,25859.0,15.0,-83.0,4.0,0.0,0.0,14.0,-85.0,4.0,0.0,0.0,15.0,-83.0,4.0,1,1509266677768,18,6.0,73.0,62.0,-999.0,-999.0,121.211975,31.276588,121.223131,31.287758,121.218483,31.276604,121.233472,31.273558,-999.0,-999.0,-999.0,-999.0,121.21433814,31.28197438,98
5444,17,6188,26051,28,-57,4,6188,27394,19,-75,4,6188.0,27377.0,14.0,-85.0,4.0,6188.0,26050.0,16.0,-81.0,4.0,6188.0,26049.0,17.0,-79.0,4.0,6188.0,27378.0,24.0,-65.0,4.0,0,1509594849233,1,5.0,8.0,7.0,10.0,3.0,121.211928,31.288649,121.208105,31.289402,121.208284,31.289647,121.211928,31.288649,121.211928,31.288649,121.208284,31.289647,121.21041479,31.28729244,93
6589,21,6182,41503,20,-73,4,6188,41075,15,-83,4,6182.0,41503.0,18.0,-77.0,4.0,6188.0,41102.0,15.0,-83.0,4.0,6182.0,44772.0,17.0,-79.0,4.0,6188.0,41123.0,15.0,-83.0,4.0,1,1510312286905,33,68.0,33.0,60.0,41.0,27.0,121.220505,31.290893,121.223293,31.284386,121.220505,31.290893,121.221804,31.280844,121.222617,31.290824,121.218509,31.286137,121.21592365,31.2906138,88
1156,9,6188,26050,29,-55,4,6188,27378,21,-71,4,6182.0,41139.0,19.0,-75.0,4.0,6188.0,27377.0,19.0,-75.0,4.0,6188.0,27314.0,17.0,-79.0,4.0,6188.0,26051.0,20.0,-73.0,4.0,2,1509179043142,7,3.0,6.0,8.0,52.0,1.0,121.211928,31.288649,121.208284,31.289647,121.223131,31.287758,121.208284,31.289647,121.218167,31.28458,121.211928,31.288649,121.21344462,31.28716741,133
11952,58,5198,42518,22,-69,4,5198,42517,12,-89,4,5198.0,42519.0,16.0,-81.0,4.0,5198.0,42507.0,12.0,-89.0,4.0,5198.0,49989.0,12.0,-89.0,4.0,5198.0,56688.0,12.0,-89.0,4.0,2,1524055680835,139,141.0,143.0,142.0,145.0,140.0,121.218148,31.288526,121.218883,31.292806,121.217792,31.288293,121.221928,31.289447,121.217371,31.291607,121.22677,31.297156,121.20880778,31.28527936,70
10023,38,5198,42518,25,-63,4,5198,56688,14,-85,4,5198.0,42517.0,18.0,-77.0,4.0,5198.0,43857.0,14.0,-85.0,4.0,5198.0,42519.0,22.0,-69.0,4.0,5198.0,49989.0,16.0,-81.0,4.0,1,1523513652545,139,140.0,141.0,151.0,143.0,145.0,121.218148,31.288526,121.22677,31.297156,121.218883,31.292806,121.2145,31.290457,121.217792,31.288293,121.217371,31.291607,121.20827823,31.2887734,97
6355,20,6188,26051,27,-59,4,6182,44757,16,-81,4,6188.0,27394.0,13.0,-87.0,4.0,6188.0,27377.0,18.0,-77.0,4.0,6182.0,44772.0,15.0,-83.0,4.0,0.0,0.0,16.0,-81.0,4.0,2,1510136343008,1,44.0,5.0,8.0,41.0,-999.0,121.211928,31.288649,121.213913,31.291614,121.208105,31.289402,121.208284,31.289647,121.222617,31.290824,-999.0,-999.0,121.21417707,31.29085441,120
5813,18,5198,16058,22,-69,4,5198,17029,9,-95,3,5198.0,64092.0,8.0,-97.0,3.0,5198.0,16237.0,8.0,-97.0,3.0,5198.0,16059.0,6.0,-101.0,2.0,5198.0,49663.0,8.0,-97.0,3.0,1,1509700200373,31,35.0,72.0,58.0,36.0,56.0,121.220639,31.281873,121.221816,31.293837,121.23006,31.302692,121.223069,31.282024,121.209767,31.284987,121.221488,31.282112,121.21396441,31.28842249,61
7557,25,6188,41148,27,-59,4,6188,41092,23,-67,4,6188.0,41091.0,20.0,-73.0,4.0,6188.0,41149.0,21.0,-71.0,4.0,6188.0,41122.0,24.0,-65.0,4.0,6182.0,41503.0,24.0,-65.0,4.0,1,1511175027359,28,25.0,80.0,23.0,29.0,33.0,121.218285,31.288788,121.217871,31.2808,121.211384,31.291563,121.214295,31.280418,121.216448,31.2893,121.220505,31.290893,121.21361937,31.29213168,30
11454,50,5198,42518,28,-57,4,5198,42507,14,-85,4,5198.0,49989.0,18.0,-77.0,4.0,5198.0,49988.0,16.0,-81.0,4.0,5198.0,1188.0,18.0,-77.0,4.0,5198.0,42517.0,16.0,-81.0,4.0,1,1523882507541,139,142.0,145.0,147.0,113.0,141.0,121.218148,31.288526,121.221928,31.289447,121.217371,31.291607,121.228847,31.298519,121.214195,31.288478,121.218883,31.292806,121.21061277,31.28767293,93
11594,52,5198,42507,15,-83,4,5198,42518,7,-99,2,5198.0,50807.0,7.0,-99.0,2.0,5198.0,42508.0,9.0,-95.0,3.0,5198.0,42509.0,8.0,-97.0,3.0,0.0,0.0,6.0,-101.0,2.0,2,1523939077655,142,139.0,150.0,146.0,148.0,-999.0,121.221928,31.289447,121.218148,31.288526,121.229283,31.292171,121.226213,31.283596,121.223001,31.284943,-999.0,-999.0,121.20997657,31.28440855,66
7759,25,6188,41092,28,-57,4,6188,41149,28,-57,4,6188.0,41148.0,24.0,-65.0,4.0,6188.0,41122.0,16.0,-81.0,4.0,6188.0,41093.0,20.0,-73.0,4.0,6188.0,41124.0,21.0,-71.0,4.0,1,1511175242735,25,23.0,28.0,29.0,79.0,26.0,121.217871,31.2808,121.214295,31.280418,121.218285,31.288788,121.216448,31.2893,121.206472,31.284913,121.212407,31.282261,121.20922099,31.28619581,29
10632,44,5198,42507,26,-61,4,5198,42519,14,-85,4,5198.0,42509.0,18.0,-77.0,4.0,5198.0,42518.0,17.0,-79.0,4.0,5198.0,42508.0,15.0,-83.0,4.0,5198.0,44572.0,15.0,-83.0,4.0,1,1523595883334,142,143.0,148.0,139.0,146.0,144.0,121.221928,31.289447,121.217792,31.288293,121.223001,31.284943,121.218148,31.288526,121.226213,31.283596,121.228681,31.256506,121.21016156,31.28466038,66
