,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,conf,error,Longitude,Latitude,p_gid,gid,rss_level_1,rss_level_2,rss_level_3,rss_level_4,rss_level_5,rss_level_6
7972,26,6188,41149,25,-63,4,6188,41092,22,-69,4,6188.0,41124.0,18.0,-77.0,4.0,6188.0,41148.0,20.0,-73.0,4.0,6188.0,41093.0,21.0,-71.0,4.0,6188.0,27361.0,14.0,-85.0,4.0,1,1511267975625,23,25.0,26.0,28.0,79.0,47.0,121.214295,31.280418,121.217871,31.2808,121.212407,31.282261,121.218285,31.288788,121.206472,31.284913,121.213131,31.283388,1,22.5,121.20962963,31.28631113,10,10,3,3,4,4,4,5
2339,12,6188,26051,31,-51,4,6188,27378,21,-71,4,6188.0,27377.0,23.0,-67.0,4.0,6188.0,26050.0,22.0,-69.0,4.0,6188.0,26049.0,23.0,-67.0,4.0,6188.0,27394.0,26.0,-61.0,4.0,2,1509180376670,1,3.0,8.0,7.0,10.0,5.0,121.211928,31.288649,121.208284,31.289647,121.208284,31.289647,121.211928,31.288649,121.211928,31.288649,121.208105,31.289402,1,20.1,121.21195937,31.28797034,16,16,2,4,3,3,3,3
746,8,5198,38198,24,-65,4,5198,16058,16,-81,4,5198.0,16059.0,23.0,-67.0,4.0,5198.0,38197.0,15.0,-83.0,4.0,5198.0,16057.0,20.0,-73.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,2,1508920886953,38,31.0,36.0,64.0,63.0,-999.0,121.206769,31.28681,121.220639,31.281873,121.209767,31.284987,121.198321,31.29532,121.221136,31.293876,-999.0,-999.0,0,72.3,121.20433694,31.29306354,44,33,3,5,3,5,4,8
5570,17,6188,27378,28,-57,4,6188,27394,22,-69,4,6188.0,26051.0,17.0,-79.0,4.0,6188.0,27395.0,18.0,-77.0,4.0,6151.0,14542.0,15.0,-83.0,4.0,6188.0,27377.0,13.0,-87.0,4.0,0,1509595109235,3,5.0,1.0,4.0,61.0,8.0,121.208284,31.289647,121.208105,31.289402,121.211928,31.288649,121.208105,31.289402,121.29599,31.276411,121.208284,31.289647,1,36.7,121.20922277,31.28422212,46,46,2,3,4,4,5,5
6081,19,6188,41094,17,-79,4,6188,26051,19,-75,4,6188.0,27394.0,18.0,-77.0,4.0,6188.0,27378.0,19.0,-75.0,4.0,6188.0,41154.0,17.0,-79.0,4.0,0.0,0.0,13.0,-87.0,4.0,1,1509940508234,24,1.0,5.0,3.0,51.0,-999.0,121.218479,31.276852,121.211928,31.288649,121.208105,31.289402,121.208284,31.289647,121.217258,31.277603,-999.0,-999.0,1,36.7,121.2138729,31.28636182,110,110,4,4,4,4,4,5
12391,63,5198,56688,20,-73,4,5198,56689,8,-97,3,5198.0,42517.0,10.0,-93.0,3.0,5198.0,57368.0,9.0,-95.0,3.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0,1524189318110,140,137.0,141.0,157.0,-999.0,-999.0,121.22677,31.297156,121.211317,31.291577,121.218883,31.292806,121.207295,31.294584,-999.0,-999.0,-999.0,-999.0,1,41.7,121.21293973,31.28906675,99,99,4,6,6,6,8,8
2102,12,6188,27378,20,-73,4,6182,41139,15,-83,4,6188.0,27394.0,18.0,-77.0,4.0,6188.0,27395.0,15.0,-83.0,4.0,6188.0,20865.0,15.0,-83.0,4.0,6188.0,26051.0,16.0,-81.0,4.0,2,1509179886825,3,6.0,5.0,4.0,46.0,1.0,121.208284,31.289647,121.223131,31.287758,121.208105,31.289402,121.208105,31.289402,121.205655,31.277705,121.211928,31.288649,0,58.0,121.20834869,31.28547753,70,70,4,5,4,5,5,5
1694,10,6188,27395,23,-67,4,6182,13698,19,-75,4,6182.0,13394.0,18.0,-77.0,4.0,6188.0,27379.0,20.0,-73.0,4.0,0.0,0.0,18.0,-77.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,2,1509179564015,4,20.0,40.0,37.0,-999.0,-999.0,121.208105,31.289402,121.191709,31.287846,121.202787,31.292964,121.208284,31.289647,-999.0,-999.0,-999.0,-999.0,1,22.6,121.20564921,31.28615588,26,26,3,4,4,4,4,8
2727,13,6188,25105,20,-73,4,6188,27394,13,-87,4,6188.0,27378.0,14.0,-85.0,4.0,0.0,0.0,13.0,-87.0,4.0,6182.0,41139.0,16.0,-81.0,4.0,6188.0,25089.0,14.0,-85.0,4.0,2,1509264943250,2,5.0,3.0,-999.0,6.0,18.0,121.211975,31.276588,121.208105,31.289402,121.208284,31.289647,-999.0,-999.0,121.223131,31.287758,121.211975,31.276588,0,57.7,121.2164169,31.28513522,5,73,4,5,5,5,5,5
9577,34,5198,56688,21,-71,4,5198,56689,22,-69,4,5198.0,49989.0,19.0,-75.0,4.0,5198.0,42517.0,18.0,-77.0,4.0,5198.0,42518.0,15.0,-83.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,1,1523512214905,140,137.0,145.0,141.0,139.0,-999.0,121.22677,31.297156,121.211317,31.291577,121.217371,31.291607,121.218883,31.292806,121.218148,31.288526,-999.0,-999.0,0,74.6,121.20946333,31.29137537,119,84,4,3,4,4,5,8
