,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,conf,error,Longitude,Latitude,p_gid,gid,rss_level_1,rss_level_2,rss_level_3,rss_level_4,rss_level_5,rss_level_6
4078,18,6153,27902,15,-83,4,6153,28031,17,-79,4,6153.0,27913.0,10.0,-93.0,3.0,6153.0,28020.0,12.0,-89.0,4.0,6153.0,27904.0,10.0,-93.0,3.0,6153.0,27911.0,13.0,-87.0,4.0,1,1.53e+12,37,24.0,38.0,25.0,41.0,43.0,121.503581,31.28534,121.495261,31.288196,121.498646,31.28425,121.498923,31.281691,121.493407,31.287705,121.498572,31.286194,0,54.5,121.4974819,31.28814366,7,7,5,4,6,5,6,5
4767,19,6153,28033,27,-59,4,6153,27902,22,-69,4,6153.0,27911.0,15.0,-83.0,4.0,6153.0,27903.0,20.0,-73.0,4.0,6153.0,27913.0,22.0,-69.0,4.0,6153.0,28020.0,22.0,-69.0,4.0,0,1.53e+12,21,37.0,43.0,19.0,38.0,25.0,121.497323,31.285173,121.503581,31.28534,121.498572,31.286194,121.494429,31.278097,121.498646,31.28425,121.498923,31.281691,1,28.3,121.4970312,31.28420667,17,17,2,3,5,4,3,3
5653,22,6153,28033,28,-57,4,6153,27903,16,-81,4,6153.0,28020.0,20.0,-73.0,4.0,6153.0,28031.0,20.0,-73.0,4.0,6153.0,27902.0,22.0,-69.0,4.0,6153.0,27913.0,23.0,-67.0,4.0,1,1.53e+12,21,19.0,25.0,24.0,37.0,38.0,121.497323,31.285173,121.494429,31.278097,121.498923,31.281691,121.495261,31.288196,121.503581,31.28534,121.498646,31.28425,1,11.1,121.497419,31.28494285,4,4,2,5,4,4,3,3
3988,18,6153,27911,19,-75,4,6153,27913,10,-93,3,6362.0,30071.0,12.0,-89.0,4.0,6185.0,28209.0,8.0,-97.0,3.0,0.0,0.0,10.0,-93.0,3.0,6153.0,28031.0,21.0,-71.0,4.0,1,1.53e+12,43,38.0,64.0,45.0,-999.0,24.0,121.498572,31.286194,121.498646,31.28425,121.503121,31.288529,121.487916,31.287798,-999.0,-999.0,121.495261,31.288196,1,41.8,121.4984912,31.28818488,7,7,4,6,5,6,6,4
3709,18,6153,27912,21,-71,4,6153,28032,15,-83,4,6362.0,29949.0,16.0,-81.0,4.0,6362.0,30071.0,13.0,-87.0,4.0,6153.0,28031.0,14.0,-85.0,4.0,6153.0,27940.0,13.0,-87.0,4.0,1,1.53e+12,23,18.0,20.0,64.0,24.0,58.0,121.501757,31.285306,121.50187,31.284054,121.508039,31.286935,121.503121,31.288529,121.495261,31.288196,121.497584,31.27897,1,38.6,121.5015167,31.28710923,6,6,4,5,5,5,5,5
5562,22,6153,28033,30,-53,4,6153,27903,15,-83,4,6153.0,28021.0,14.0,-85.0,4.0,6153.0,27902.0,19.0,-75.0,4.0,6153.0,27913.0,17.0,-79.0,4.0,6153.0,28020.0,22.0,-69.0,4.0,1,1.53e+12,21,19.0,22.0,37.0,38.0,25.0,121.497323,31.285173,121.494429,31.278097,121.499699,31.276899,121.503581,31.28534,121.498646,31.28425,121.498923,31.281691,1,20.2,121.4966788,31.2840215,17,17,2,5,5,4,4,3
4876,20,6153,27902,30,-53,4,6153,27903,23,-67,4,6153.0,28020.0,26.0,-61.0,4.0,6153.0,27913.0,22.0,-69.0,4.0,6153.0,28033.0,23.0,-67.0,4.0,6153.0,28021.0,18.0,-77.0,4.0,1,1.53e+12,37,19.0,25.0,38.0,21.0,22.0,121.503581,31.28534,121.494429,31.278097,121.498923,31.281691,121.498646,31.28425,121.497323,31.285173,121.499699,31.276899,1,38.8,121.4967047,31.28429638,17,17,2,3,3,3,3,4
1023,8,4199,29752,21,-71,4,4199,18468,30,-53,4,4199.0,18467.0,30.0,-53.0,4.0,4199.0,18469.0,22.0,-69.0,4.0,4199.0,29753.0,22.0,-69.0,4.0,-1.0,0.0,-1.0,-1.0,-1.0,0,1.52e+12,6,17.0,2.0,11.0,5.0,-999.0,121.494757,31.284161,121.497084,31.281895,121.496847,31.283612,121.496153,31.281763,121.492659,31.283734,-999.0,-999.0,1,31.8,121.498625,31.28360396,22,22,4,2,2,3,3,1
1740,15,6153,27903,21,-71,4,6153,27912,26,-61,4,6362.0,29968.0,19.0,-75.0,4.0,6153.0,28032.0,27.0,-59.0,4.0,6153.0,27913.0,20.0,-73.0,4.0,0.0,0.0,19.0,-75.0,4.0,0,1.51e+12,19,23.0,52.0,18.0,38.0,-999.0,121.494429,31.278097,121.501757,31.285306,121.504264,31.277168,121.50187,31.284054,121.498646,31.28425,-999.0,-999.0,0,1346.2,121.4969439,31.28375822,3,17,4,3,4,2,4,4
5274,21,4199,29742,28,-57,4,4199,12499,21,-71,4,4199.0,29743.0,25.0,-63.0,4.0,4199.0,29712.0,15.0,-83.0,4.0,4199.0,29741.0,17.0,-79.0,4.0,4199.0,18539.0,13.0,-87.0,4.0,1,1.53e+12,12,1.0,27.0,15.0,14.0,13.0,121.495039,31.296587,121.485106,31.285941,121.493918,31.287768,121.49169,31.290129,121.495055,31.288492,121.499165,31.284763,0,76.0,121.4953661,31.28635475,11,11,2,4,3,5,4,5
