,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,conf,error,Longitude,Latitude,p_gid,gid,rss_level_1,rss_level_2,rss_level_3,rss_level_4,rss_level_5,rss_level_6
6786,22,6188,41124,29,-55,4,6188,41092,22,-69,4,6188.0,41122.0,19.0,-75.0,4.0,6188.0,41149.0,26.0,-61.0,4.0,6182.0,13698.0,16.0,-81.0,4.0,6188.0,41148.0,22.0,-69.0,4.0,1,1510411688909,26,25.0,29.0,23.0,20.0,28.0,121.212407,31.282261,121.217871,31.2808,121.216448,31.2893,121.214295,31.280418,121.191709,31.287846,121.218285,31.288788,1,31.4,121.21083281,31.28774174,93,93,2,3,4,3,5,3
977,8,5198,25312,19,-75,4,5198,16058,17,-79,4,5198.0,36811.0,11.0,-91.0,3.0,5198.0,16059.0,11.0,-91.0,3.0,5198.0,23603.0,7.0,-99.0,2.0,5198.0,47653.0,7.0,-99.0,2.0,2,1508921595843,39,31.0,42.0,36.0,78.0,107.0,121.217402,31.281802,121.220639,31.281873,121.210909,31.27847,121.209767,31.284987,121.246283,31.296038,121.252905,31.249036,0,81.4,121.21240947,31.28781229,133,108,4,4,6,6,6,6
11401,49,5198,42507,15,-83,4,5198,42508,11,-91,3,5198.0,49989.0,10.0,-93.0,3.0,5198.0,50808.0,7.0,-99.0,2.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0,1523874481458,142,146.0,145.0,166.0,-999.0,-999.0,121.221928,31.289447,121.226213,31.283596,121.217371,31.291607,121.227571,31.283401,-999.0,-999.0,-999.0,-999.0,1,31.1,121.20998437,31.28392155,24,24,5,6,6,6,8,8
11120,49,5198,42518,28,-57,4,5198,42517,20,-73,4,5198.0,49989.0,23.0,-67.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0,1523873617744,139,141.0,145.0,-999.0,-999.0,-999.0,121.218148,31.288526,121.218883,31.292806,121.217371,31.291607,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,286.9,121.21138607,31.28861514,48,54,2,4,3,8,8,8
3467,13,6182,13666,13,-87,4,6182,13698,14,-85,4,6182.0,13394.0,14.0,-85.0,4.0,0.0,0.0,12.0,-89.0,4.0,6188.0,27379.0,12.0,-89.0,4.0,6188.0,20897.0,13.0,-87.0,4.0,2,1509265728229,13,20.0,40.0,-999.0,37.0,74.0,121.191709,31.287846,121.191709,31.287846,121.202787,31.292964,-999.0,-999.0,121.208284,31.289647,121.205033,31.285474,1,34.4,121.20745,31.28478426,118,118,5,5,5,5,5,5
6408,20,6188,27377,21,-71,4,6182,44757,17,-79,4,6188.0,26049.0,20.0,-73.0,4.0,6182.0,44772.0,18.0,-77.0,4.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,2,1510136399155,8,44.0,10.0,41.0,-999.0,-999.0,121.208284,31.289647,121.213913,31.291614,121.211928,31.288649,121.222617,31.290824,-999.0,-999.0,-999.0,-999.0,1,14.6,121.21645359,31.29017941,81,81,4,4,4,4,8,8
4662,16,6188,27393,20,-73,4,6182,41233,24,-65,4,6188.0,26051.0,25.0,-63.0,4.0,6188.0,26049.0,27.0,-59.0,4.0,6188.0,27377.0,22.0,-69.0,4.0,6188.0,27394.0,20.0,-73.0,4.0,1,1509524708390,16,11.0,1.0,10.0,8.0,5.0,121.208105,31.289402,121.217245,31.291334,121.211928,31.288649,121.211928,31.288649,121.208284,31.289647,121.208105,31.289402,1,10.4,121.21207482,31.29314616,117,117,4,3,3,2,3,4
3596,14,6188,27378,21,-71,4,6182,41139,18,-77,4,6188.0,27394.0,22.0,-69.0,4.0,6188.0,27395.0,20.0,-73.0,4.0,6188.0,20865.0,16.0,-81.0,4.0,6188.0,26051.0,15.0,-83.0,4.0,1,1509266071641,3,6.0,5.0,4.0,46.0,1.0,121.208284,31.289647,121.223131,31.287758,121.208105,31.289402,121.208105,31.289402,121.205655,31.277705,121.211928,31.288649,1,13.1,121.20903308,31.28475226,0,0,4,4,3,4,5,5
4997,16,6188,27378,20,-73,4,6188,41127,16,-81,4,6188.0,26051.0,17.0,-79.0,4.0,0.0,0.0,13.0,-87.0,4.0,6151.0,14542.0,15.0,-83.0,4.0,6188.0,27377.0,12.0,-89.0,4.0,1,1509525262975,3,49.0,1.0,-999.0,61.0,8.0,121.208284,31.289647,121.233326,31.274399,121.211928,31.288649,-999.0,-999.0,121.29599,31.276411,121.208284,31.289647,1,47.7,121.21063921,31.28244219,13,107,4,5,4,5,5,5
8136,26,6188,41092,28,-57,4,6188,41124,21,-71,4,6188.0,41148.0,30.0,-53.0,4.0,6188.0,41122.0,27.0,-59.0,4.0,6188.0,41091.0,25.0,-63.0,4.0,6182.0,41503.0,23.0,-67.0,4.0,1,1511268150688,25,26.0,28.0,29.0,80.0,33.0,121.217871,31.2808,121.212407,31.282261,121.218285,31.288788,121.216448,31.2893,121.211384,31.291563,121.220505,31.290893,1,8.8,121.21336107,31.29211483,3,3,2,4,2,2,3,3
