,TrajID,RNCID_1,CellID_1,AsuLevel_1,Dbm_1,SignalLevel_1,RNCID_2,CellID_2,AsuLevel_2,Dbm_2,SignalLevel_2,RNCID_3,CellID_3,AsuLevel_3,Dbm_3,SignalLevel_3,RNCID_4,CellID_4,AsuLevel_4,Dbm_4,SignalLevel_4,RNCID_5,CellID_5,AsuLevel_5,Dbm_5,SignalLevel_5,RNCID_6,CellID_6,AsuLevel_6,Dbm_6,SignalLevel_6,mode,MRTime,BSID,BSID2,BSID3,BSID4,BSID5,BSID6,Lon,Lat,Lon2,Lat2,Lon3,Lat3,Lon4,Lat4,Lon5,Lat5,Lon6,Lat6,Longitude,Latitude,gid
4906,20,6153,28033,30,-53,4,6153,27903,25,-63,4,6153.0,27913.0,23.0,-67.0,4.0,6153.0,28031.0,20.0,-73.0,4.0,6153.0,27905.0,21.0,-71.0,4.0,6153.0,27902.0,23.0,-67.0,4.0,1,1.53e+12,21,19.0,38.0,24.0,87.0,37.0,121.497323,31.285173,121.494429,31.278097,121.498646,31.28425,121.495261,31.288196,121.486917,31.274206,121.503581,31.28534,121.4964554,31.28444552,17
2395,17,6362,29967,23,-67,4,6362,30073,18,-77,4,6305.0,58243.0,18.0,-77.0,4.0,6362.0,30074.0,24.0,-65.0,4.0,6362.0,30075.0,15.0,-83.0,4.0,6362.0,30014.0,13.0,-87.0,4.0,0,1.52e+12,47,55.0,51.0,48.0,40.0,66.0,121.511947,31.281646,121.507842,31.28561,121.514716,31.281609,121.51078,31.282514,121.505676,31.279911,121.515213,31.28467,121.5106072,31.28008081,3
3485,17,6153,28033,31,-51,4,6153,27902,21,-71,4,6153.0,28021.0,21.0,-71.0,4.0,6153.0,28033.0,28.0,-57.0,4.0,6153.0,28031.0,20.0,-73.0,4.0,6153.0,27913.0,21.0,-71.0,4.0,0,1.52e+12,21,37.0,22.0,21.0,24.0,38.0,121.497323,31.285173,121.503581,31.28534,121.499699,31.276899,121.497323,31.285173,121.495261,31.288196,121.498646,31.28425,121.4967821,31.28346399,33
509,6,4199,29742,31,-51,4,4199,18638,21,-71,4,4199.0,12499.0,27.0,-59.0,4.0,4199.0,29743.0,24.0,-65.0,4.0,4199.0,29741.0,21.0,-71.0,4.0,4199.0,12498.0,20.0,-73.0,4.0,0,1.52e+12,12,10.0,1.0,27.0,14.0,28.0,121.495039,31.296587,121.492016,31.295198,121.485106,31.285941,121.493918,31.287768,121.495055,31.288492,121.499286,31.289474,121.4943344,31.28672782,53
5622,22,6153,28033,28,-57,4,6153,27903,19,-75,4,6153.0,28021.0,15.0,-83.0,4.0,6153.0,28020.0,21.0,-71.0,4.0,6153.0,28031.0,16.0,-81.0,4.0,6153.0,27902.0,21.0,-71.0,4.0,1,1.53e+12,21,19.0,22.0,25.0,24.0,37.0,121.497323,31.285173,121.494429,31.278097,121.499699,31.276899,121.498923,31.281691,121.495261,31.288196,121.503581,31.28534,121.4974551,31.28447177,17
4501,19,6153,28032,25,-63,4,6153,27912,20,-73,4,6153.0,27903.0,21.0,-71.0,4.0,6153.0,28021.0,20.0,-73.0,4.0,6153.0,27913.0,18.0,-77.0,4.0,6362.0,30075.0,19.0,-75.0,4.0,0,1.53e+12,18,23.0,19.0,22.0,38.0,40.0,121.50187,31.284054,121.501757,31.285306,121.494429,31.278097,121.499699,31.276899,121.498646,31.28425,121.505676,31.279911,121.5001956,31.28412609,13
1059,8,4199,18539,25,-63,4,4199,29753,20,-73,4,4199.0,18638.0,24.0,-65.0,4.0,4199.0,18619.0,18.0,-77.0,4.0,4199.0,12499.0,21.0,-71.0,4.0,4199.0,29752.0,22.0,-69.0,4.0,0,1.52e+12,13,5.0,10.0,16.0,1.0,6.0,121.499165,31.284763,121.492659,31.283734,121.492016,31.295198,121.499258,31.288113,121.485106,31.285941,121.494757,31.284161,121.4986951,31.28422967,41
5850,22,6153,28032,31,-51,4,6153,27903,18,-77,4,6153.0,27913.0,18.0,-77.0,4.0,6153.0,28033.0,24.0,-65.0,4.0,6153.0,28031.0,20.0,-73.0,4.0,6153.0,27912.0,20.0,-73.0,4.0,1,1.53e+12,18,19.0,38.0,21.0,24.0,23.0,121.50187,31.284054,121.494429,31.278097,121.498646,31.28425,121.497323,31.285173,121.495261,31.288196,121.501757,31.285306,121.4997159,31.28487056,28
115,0,4199,29751,22,-69,4,4199,18639,20,-73,4,4199.0,29752.0,17.0,-79.0,4.0,4199.0,12499.0,18.0,-77.0,4.0,4199.0,29753.0,20.0,-73.0,4.0,4199.0,29742.0,14.0,-85.0,4.0,1,1.52e+12,9,4.0,6.0,1.0,5.0,12.0,121.49346,31.285513,121.490939,31.28661,121.494757,31.284161,121.485106,31.285941,121.492659,31.283734,121.495039,31.296587,121.4933234,31.28497372,34
5924,22,6153,27912,26,-61,4,6153,27903,19,-75,4,6153.0,28031.0,18.0,-77.0,4.0,6153.0,27911.0,17.0,-79.0,4.0,6153.0,28032.0,28.0,-57.0,4.0,6153.0,28021.0,19.0,-75.0,4.0,1,1.53e+12,23,19.0,24.0,43.0,18.0,22.0,121.501757,31.285306,121.494429,31.278097,121.495261,31.288196,121.498572,31.286194,121.50187,31.284054,121.499699,31.276899,121.500056,31.28499863,28
4536,19,6153,27903,28,-57,4,6153,27912,16,-81,4,6153.0,28021.0,20.0,-73.0,4.0,6153.0,27913.0,18.0,-77.0,4.0,6153.0,28020.0,19.0,-75.0,4.0,6153.0,28032.0,22.0,-69.0,4.0,0,1.53e+12,19,23.0,22.0,38.0,25.0,18.0,121.494429,31.278097,121.501757,31.285306,121.499699,31.276899,121.498646,31.28425,121.498923,31.281691,121.50187,31.284054,121.4996903,31.28411384,13
4482,19,6153,28032,25,-63,4,6153,27912,23,-67,4,6153.0,27903.0,20.0,-73.0,4.0,6153.0,28021.0,17.0,-79.0,4.0,6153.0,28033.0,17.0,-79.0,4.0,6153.0,27913.0,18.0,-77.0,4.0,0,1.53e+12,18,23.0,19.0,22.0,21.0,38.0,121.50187,31.284054,121.501757,31.285306,121.494429,31.278097,121.499699,31.276899,121.497323,31.285173,121.498646,31.28425,121.500536,31.28404063,13
1058,8,4199,18539,27,-59,4,4199,29753,20,-73,4,4199.0,18638.0,24.0,-65.0,4.0,4199.0,18619.0,18.0,-77.0,4.0,4199.0,12499.0,21.0,-71.0,4.0,4199.0,29752.0,22.0,-69.0,4.0,0,1.52e+12,13,5.0,10.0,16.0,1.0,6.0,121.499165,31.284763,121.492659,31.283734,121.492016,31.295198,121.499258,31.288113,121.485106,31.285941,121.494757,31.284161,121.4986951,31.28422967,41
1831,15,6362,29978,26,-61,4,6153,28032,22,-69,4,6153.0,27912.0,24.0,-65.0,4.0,6362.0,29968.0,18.0,-77.0,4.0,6305.0,17274.0,17.0,-79.0,4.0,6305.0,17144.0,18.0,-77.0,4.0,0,1.51e+12,60,18.0,23.0,52.0,54.0,57.0,121.504101,31.283884,121.50187,31.284054,121.501757,31.285306,121.504264,31.277168,121.51148,31.278201,121.505035,31.283008,121.4969439,31.28375822,17
4076,18,6153,27911,13,-87,4,6153,28031,17,-79,4,6153.0,27913.0,10.0,-93.0,3.0,6153.0,28020.0,12.0,-89.0,4.0,6153.0,27902.0,14.0,-85.0,4.0,6153.0,27904.0,10.0,-93.0,3.0,1,1.53e+12,43,24.0,38.0,25.0,37.0,41.0,121.498572,31.286194,121.495261,31.288196,121.498646,31.28425,121.498923,31.281691,121.503581,31.28534,121.493407,31.287705,121.4974842,31.28816187,7
3769,18,6153,27912,21,-71,4,6362,29949,17,-79,4,6153.0,28032.0,15.0,-83.0,4.0,6153.0,28031.0,19.0,-75.0,4.0,6153.0,27903.0,11.0,-91.0,3.0,6153.0,27902.0,12.0,-89.0,4.0,1,1.53e+12,23,20.0,18.0,24.0,19.0,37.0,121.501757,31.285306,121.508039,31.286935,121.50187,31.284054,121.495261,31.288196,121.494429,31.278097,121.503581,31.28534,121.5005477,31.28694001,55
5776,22,6153,27913,31,-51,4,6153,28031,22,-69,4,0.0,0.0,17.0,-79.0,4.0,6153.0,27902.0,19.0,-75.0,4.0,6153.0,28020.0,17.0,-79.0,4.0,0.0,0.0,23.0,-67.0,4.0,1,1.53e+12,38,24.0,-999.0,37.0,25.0,-999.0,121.498646,31.28425,121.495261,31.288196,-999.0,-999.0,121.503581,31.28534,121.498923,31.281691,-999.0,-999.0,121.498917,31.28505401,20
